Município,Campo,ChatGPT,Gemini,Grok,Mais provável
Bombinhas,Horario,"seg.?sex., 12h?18hbombinhas.sc.gov.br",12h às 18h,"Seg-Sex, 12h-18h","seg.?sex., 12h?18hbombinhas.sc.gov.br"
,,,,,
Camboriú,,,,,
Camboriú,Local,Secretaria de Meio Ambiente e Sustentabilidade (Prevista),Fundação do Meio Ambiente de Camboriú (FUCAM),Fundação do Meio Ambiente,Secretaria de Meio Ambiente e Sustentabilidade (Prevista)
Camboriú,Responsavel,(não localizado),Diretoria de Resíduos Sólidos,Verificar com a prefeitura (Camboriú),Verificar com a prefeitura (Camboriú)
Camboriú,Endereco,(sem informação oficial disponível),"Rua Coronel Benjamin Vieira, nº 456, Centro, Camboriú - SC","Rua Coronel Benjamin Vieira, nº [não especificado]","Rua Coronel Benjamin Vieira, nº 456, Centro, Camboriú - SC"
Camboriú,Contato,,Fone: (47) 3365-2311,(47) 3365-6738; Não disponível,(47) 3365-6738; Não disponível
Camboriú,Horario,"seg.?sex., horário padrão provável",13h às 19h,"Seg-Sex, 12h-18h","seg.?sex., horário padrão provável"
,,,,,
Ilhota,,,,,
Ilhota,Local,Secretaria Municipal de Obras (limpeza urbana),Secretaria de Agricultura e Meio Ambiente,Secretaria de Meio Ambiente ou Obras,Secretaria Municipal de Obras (limpeza urbana)
Ilhota,Responsavel,Viland Bork ? Secretário de Obrasilhota.sc.gov.br,Departamento de Meio Ambiente,Confirmar departamento via telefone,Viland Bork ? Secretário de Obrasilhota.sc.gov.br
Ilhota,Endereco,"Rua Leoberto Leal, nº 160 ? Centro ? Ilhotailhota.sc.gov.br
Tel: (47) 3343-1155ilhota.sc.gov.br; Tel. geral: (47) 3343-8800ilhota.sc.gov.br
E-mail: obras@ilhota.sc.gov.brilhota.sc.gov.br","Rua Leoberto Leal, 160, Centro, Ilhota - SC",Não disponível,"Rua Leoberto Leal, nº 160 ? Centro ? Ilhotailhota.sc.gov.br
Tel: (47) 3343-1155ilhota.sc.gov.br; Tel. geral: (47) 3343-8800ilhota.sc.gov.br
E-mail: obras@ilhota.sc.gov.brilhota.sc.gov.br"
Ilhota,Contato,,Fone: (47) 3343-8800,(47) 3343-8600 (geral); Não disponível,(47) 3343-8600 (geral); Não disponível
Ilhota,Horario,"seg.?sex., 8h?12h / 13h?17hilhota.sc.gov.br",07h30 às 12h e 13h às 17h,"Seg-Sex, 8h-12h, 13h-17h (suposto)","seg.?sex., 8h?12h / 13h?17hilhota.sc.gov.br"
,,,,,
Itajaí,,,,,
Itajaí,Local,Instituto Itajaí Sustentável (INIS) ? Meio Ambiente,Instituto Itajaí Sustentável (INIS),Secretaria de Meio Ambiente ou Saneamento,Instituto Itajaí Sustentável (INIS) ? Meio Ambiente
Itajaí,Responsavel,(não localizado),Diretoria de Gestão de Resíduos,Confirmar departamento via telefone,Confirmar departamento via telefone
Itajaí,Endereco,"Sede: Av. Vereador Abrahão J. Francisco, nº 2600 ? Centro ? Itajaí (Ed. Cristine)inis.itajai.sc.gov.br
Tel/Admin: (47) 3348-8031inis.itajai.sc.gov.br
(E-mail não informado)","Av. Vereador Abrahão João Francisco, 3855, Ressacada, Itajaí - SC",Não disponível,"Sede: Av. Vereador Abrahão J. Francisco, nº 2600 ? Centro ? Itajaí (Ed. Cristine)inis.itajai.sc.gov.br
Tel/Admin: (47) 3348-8031inis.itajai.sc.gov.br
(E-mail não informado)"
Itajaí,Contato,,Fone: (47) 3348-8031,(47) 3341-6000 (geral); Não disponível,(47) 3341-6000 (geral); Não disponível
Itajaí,Horario,"seg.?sex., 8h?12h / 13h?19h (previsto)",13h às 19h,"Seg-Sex, 13h-19h (suposto)","seg.?sex., 8h?12h / 13h?19h (previsto)"
,,,,,
Itapema,,,,,
Itapema,Local,Secretaria de Obras e Transportes (limpeza urbana/resíduos),FAACI - Fundação Ambiental Área Costeira de Itapema,Secretaria de Meio Ambiente ou Saneamento,Secretaria de Obras e Transportes (limpeza urbana/resíduos)
Itapema,Responsavel,Osvaldo Batista Neto ? Secretário de Obrasportalitapema.com,Diretoria de Resíduos Sólidos,Confirmar departamento via telefone,Osvaldo Batista Neto ? Secretário de Obrasportalitapema.com
Itapema,Endereco,"Rua 902, nº 155 ? Sertãozinho ? Itapemaportalitapema.com
Tel: (47) 3267-1575portalitapema.com
E-mail: obras@itapema.sc.gov.brportalitapema.com","Av. Nereu Ramos, 149, Centro, Itapema - SC",Não disponível,"Rua 902, nº 155 ? Sertãozinho ? Itapemaportalitapema.com
Tel: (47) 3267-1575portalitapema.com
E-mail: obras@itapema.sc.gov.brportalitapema.com"
Itapema,Contato,,Fone: (47) 3267-1422 / (47) 3267-1423,(47) 3268-8000 (geral); Não disponível,(47) 3268-8000 (geral); Não disponível
Itapema,Horario,"seg.?sex., 12h?18h",12h às 18h,"Seg-Sex, 12h-18h (suposto)","Seg-Sex, 12h-18h (suposto)"
,,,,,
Luiz Alves,,,,,
Luiz Alves,Local,Secretaria de Agricultura e Meio Ambiente,Secretaria de Agricultura e Meio Ambiente,Secretaria de Meio Ambiente ou Obras,Secretaria de Agricultura e Meio Ambiente
Luiz Alves,Responsavel,(não localizado),Departamento de Meio Ambiente,Confirmar departamento via telefone,Confirmar departamento via telefone
Luiz Alves,Endereco,"R. Erich Gielow, nº 35 ? Centro ? Luiz Alvesluizalves.atende.net
Tel/Fax: (47) 3377-8600luizalves.atende.net
E-mail geral: administracao@luizalves.sc.gov.brluizalves.atende.net","Rua 18 de Julho, 236, Centro, Luiz Alves - SC",Não disponível,"R. Erich Gielow, nº 35 ? Centro ? Luiz Alvesluizalves.atende.net
Tel/Fax: (47) 3377-8600luizalves.atende.net
E-mail geral: administracao@luizalves.sc.gov.brluizalves.atende.net"
Luiz Alves,Contato,,Fone: (47) 3377-8600,(47) 3377-8200 (geral); Não disponível,(47) 3377-8200 (geral); Não disponível
Luiz Alves,Horario,"seg.?sex., 8h?12h / 13h?17h (prefeitura)",08h às 12h e 13h às 17h,"Seg-Sex, 8h-12h, 13h-17h (suposto)","seg.?sex., 8h?12h / 13h?17h (prefeitura)"
,,,,,
Navegantes,,,,,
Navegantes,Local,"Secretaria de Infraestrutura (limpeza urbana, resíduos)",Fundação Municipal do Meio Ambiente de Navegantes (FUMAN),Secretaria de Meio Ambiente ou Saneamento,Fundação Municipal do Meio Ambiente de Navegantes (FUMAN)
Navegantes,Responsavel,Roberto Melentino Ferreira ? Secretário de Infraestruturanavegantes.sc.gov.br,Superintendência,Confirmar departamento via telefone,Roberto Melentino Ferreira ? Secretário de Infraestruturanavegantes.sc.gov.br
Navegantes,Endereco,"Rua Arnaldo Passos, nº 298 ? Centro ? Navegantesnavegantes.sc.gov.br
Tel: (47) 3185-2003navegantes.sc.gov.br
E-mail: obras@navegantes.sc.gov.brnavegantes.sc.gov.br","Rua Itajaí, nº 230, Centro, Navegantes - SC",Não disponível,"Rua Arnaldo Passos, nº 298 ? Centro ? Navegantesnavegantes.sc.gov.br
Tel: (47) 3185-2003navegantes.sc.gov.br
E-mail: obras@navegantes.sc.gov.brnavegantes.sc.gov.br"
Navegantes,Contato,,Fone: (47) 3185-2015,(47) 3185-2000 (geral); Não disponível,(47) 3185-2000 (geral); Não disponível
Navegantes,Horario,"seg.?sex., 8h?12h / 13h30?17h30navegantes.sc.gov.br",13h às 19h,"Seg-Sex, 13h-19h (suposto)","seg.?sex., 8h?12h / 13h30?17h30navegantes.sc.gov.br"
,,,,,
Penha,,,,,
Penha,Local,Instituto do Meio Ambiente de Penha (IMAP),Secretaria de Serviços Urbanos,Secretaria de Meio Ambiente ou Serviços Urbanos,Secretaria de Meio Ambiente ou Serviços Urbanos
Penha,Responsavel,Everaldo Bodo ? Superintendente do IMAPpenhaonline.com,Departamento de Limpeza Urbana,Confirmar departamento via telefone,Everaldo Bodo ? Superintendente do IMAPpenhaonline.com
Penha,Endereco,"Prefeitura Municipal de Penha (utilizada para IMAP)
Tel/Fax: (47) 3345-0200penha.atende.net
E-mail geral: penha@penha.sc.gov.brpenha.atende.net","Rua Inácio Francisco de Souza, 126, Praia de Armação do Itapocorói, Penha - SC",Não disponível,"Prefeitura Municipal de Penha (utilizada para IMAP)
Tel/Fax: (47) 3345-0200penha.atende.net
E-mail geral: penha@penha.sc.gov.brpenha.atende.net"
Penha,Contato,,Fone: (47) 3345-0219,(47) 3345-2500 (geral); Não disponível,(47) 3345-2500 (geral); Não disponível
Penha,Horario,"seg.?sex., 8h?12h / 13h?17h",07h às 13h,"Seg-Sex, 8h-12h, 13h-17h (suposto)","Seg-Sex, 8h-12h, 13h-17h (suposto)"
,,,,,
Porto Belo,,,,,
Porto Belo,Local,Fundação de Meio Ambiente de Porto Belo (FAMAP),FAMAP - Fundação Municipal do Meio Ambiente,Secretaria de Meio Ambiente ou Saneamento,Fundação de Meio Ambiente de Porto Belo (FAMAP)
Porto Belo,Responsavel,(não localizado),Setor de Resíduos Sólidos,Confirmar departamento via telefone,Confirmar departamento via telefone
Porto Belo,Endereco,"Rua Aderbal de Souza, nº 150 ? Centro ? Porto Beloinstagram.com
Tel.: (47) 3369-4111 (Pref.)portobelo.sc.gov.br
(E-mail: famap@portobelo.sc.gov.br)","Rua Francisco Severiano dos Santos, 427, Centro, Porto Belo - SC",Não disponível,"Rua Aderbal de Souza, nº 150 ? Centro ? Porto Beloinstagram.com
Tel.: (47) 3369-4111 (Pref.)portobelo.sc.gov.br
(E-mail: famap@portobelo.sc.gov.br)"
Porto Belo,Contato,,Fone: (47) 3369-4727,(47) 3369-6700 (geral); Não disponível,(47) 3369-6700 (geral); Não disponível
Porto Belo,Horario,"seg.?sex., 8h?12h / 13h?17hportobelo.sc.gov.br",08h às 14h,"Seg-Sex, 12h-18h (suposto)","seg.?sex., 8h?12h / 13h?17hportobelo.sc.gov.br"
