Município,Campo,ChatGPT,Gemini,Grok,Mais provável
Bombinhas,Responsavel,André Luiz da Silva ? Secretário de Infraestruturabombinhas.sc.gov.br,Diretoria de Projetos e Engenharia,Gerencia obras de drenagem,André Luiz da Silva ? Secretário de Infraestruturabombinhas.sc.gov.br
Bombinhas,Endereco,"Av. Baleia Jubarte, 328 ? José Amândio (Prefeitura)bombinhas.sc.gov.br
Tel: (47) 3369-4111bombinhas.sc.gov.br
Fone direto Obras: (47) 3369-1165bombinhas.sc.gov.br
E-mail: obras@bombinhas.sc.gov.brbombinhas.sc.gov.br","Rua Pardal, nº 148, Bombas, Bombinhas - SC","Avenida Araçá, 337, Sertãozinho, 88215-000","Av. Baleia Jubarte, 328 ? José Amândio (Prefeitura)bombinhas.sc.gov.br
Tel: (47) 3369-4111bombinhas.sc.gov.br
Fone direto Obras: (47) 3369-1165bombinhas.sc.gov.br
E-mail: obras@bombinhas.sc.gov.brbombinhas.sc.gov.br"
Bombinhas,Contato,,Fone: (47) 3393-9500 (ramal 9617),(47) 3369-1165; obras@bombinhas.sc.gov.br,(47) 3369-1165; obras@bombinhas.sc.gov.br
Bombinhas,Horario,"seg.?sex., 12h?18hbombinhas.sc.gov.br",12h às 18h,"Seg-Sex, 12h-18h","seg.?sex., 12h?18hbombinhas.sc.gov.br"
,,,,,
Camboriú,,,,,
Camboriú,Local,Secretaria de Obras e Saneamento (infraestrutura urbana),Secretaria de Obras e Serviços Urbanos,Secretaria de Obras e Serviços Urbanos,Secretaria de Obras e Serviços Urbanos
Camboriú,Responsavel,(não localizado),Departamento de Obras,Verificar com a prefeitura (Camboriú),Verificar com a prefeitura (Camboriú)
Camboriú,Endereco,? (não disponível),"Rua Presidente Costa e Silva, nº 329, Centro, Camboriú - SC",Não disponível,"Rua Presidente Costa e Silva, nº 329, Centro, Camboriú - SC"
Camboriú,Contato,,Fone: (47) 3365-9500,(47) 3365-6738; Não disponível,(47) 3365-6738; Não disponível
Camboriú,Horario,"seg.?sex., horário padrão provável",13h às 19h,"Seg-Sex, 12h-18h","seg.?sex., horário padrão provável"
,,,,,
Ilhota,,,,,
Ilhota,Local,Secretaria Municipal de Obras,Secretaria de Obras e Serviços Urbanos,Secretaria de Obras,Secretaria de Obras e Serviços Urbanos
Ilhota,Responsavel,Viland Bork ? Secretário de Obrasilhota.sc.gov.br,Setor de Obras,Confirmar departamento via telefone,Viland Bork ? Secretário de Obrasilhota.sc.gov.br
Ilhota,Endereco,"R. Leoberto Leal, nº 160 ? Centro ? Ilhotailhota.sc.gov.br
Tel: (47) 3343-1155ilhota.sc.gov.br; telefone geral (47) 3343-8800ilhota.sc.gov.br
E-mail: obras@ilhota.sc.gov.brilhota.sc.gov.br","Rua Leoberto Leal, 160, Centro, Ilhota - SC",Não disponível,"R. Leoberto Leal, nº 160 ? Centro ? Ilhotailhota.sc.gov.br
Tel: (47) 3343-1155ilhota.sc.gov.br; telefone geral (47) 3343-8800ilhota.sc.gov.br
E-mail: obras@ilhota.sc.gov.brilhota.sc.gov.br"
Ilhota,Contato,,Fone: (47) 3343-8800 (ramal 215),(47) 3343-8600 (geral); Não disponível,(47) 3343-8600 (geral); Não disponível
Ilhota,Horario,"seg.?sex., 8h?12h / 13h?17hilhota.sc.gov.br",07h30 às 12h e 13h às 17h,"Seg-Sex, 8h-12h, 13h-17h (suposto)","seg.?sex., 8h?12h / 13h?17hilhota.sc.gov.br"
,,,,,
Itajaí,,,,,
Itajaí,Local,Serviço Municipal de Água e Saneamento (SEMASA),"SEMASA - Serviço Municipal de Água, Saneamento Básico e Infraestrutura",Secretaria de Obras ou Infraestrutura,"SEMASA - Serviço Municipal de Água, Saneamento Básico e Infraestrutura"
Itajaí,Responsavel,(não localizado),"Gerência de Drenagem, Diretoria de Saneamento",Confirmar departamento via telefone,"Gerência de Drenagem, Diretoria de Saneamento"
Itajaí,Endereco,"Rua Heitor Liberato, nº 1189 ? Vila Operária (Prédio Semasa)semasaitajai.com.br
Tel/SAC: (47) 3344-9000semasaitajai.com.br; 0800 645-0195semasaitajai.com.br
E-mail: escreva@semasaitajai.com.brsemasaitajai.com.br","Rua Heitor Liberato, 1189, Vila Operária, Itajaí - SC",Não disponível,"Rua Heitor Liberato, nº 1189 ? Vila Operária (Prédio Semasa)semasaitajai.com.br
Tel/SAC: (47) 3344-9000semasaitajai.com.br; 0800 645-0195semasaitajai.com.br
E-mail: escreva@semasaitajai.com.brsemasaitajai.com.br"
Itajaí,Contato,,Fone: (47) 3344-9000 / 0800 645 0195,(47) 3341-6000 (geral); Não disponível,(47) 3341-6000 (geral); Não disponível
Itajaí,Horario,"seg.?sex., 7h30?13h (possível)",08h às 18h,"Seg-Sex, 13h-19h (suposto)","seg.?sex., 7h30?13h (possível)"
,,,,,
Itapema,,,,,
Itapema,Local,Secretaria de Obras e Transportes,Secretaria de Obras e Transportes,Secretaria de Obras ou Planejamento,Secretaria de Obras e Transportes
Itapema,Responsavel,Osvaldo Batista Neto ? Secretário de Obrasportalitapema.com,Departamento de Engenharia,Confirmar departamento via telefone,Osvaldo Batista Neto ? Secretário de Obrasportalitapema.com
Itapema,Endereco,"Rua 902, nº 155 ? Sertãozinho ? Itapemaportalitapema.com
Tel: (47) 3267-1575portalitapema.com
E-mail: obras@itapema.sc.gov.brportalitapema.com","Rua 902, nº 155, Bairro Alto São Bento, Itapema - SC",Não disponível,"Rua 902, nº 155 ? Sertãozinho ? Itapemaportalitapema.com
Tel: (47) 3267-1575portalitapema.com
E-mail: obras@itapema.sc.gov.brportalitapema.com"
Itapema,Contato,,Fone: (47) 3267-1418,(47) 3268-8000 (geral); Não disponível,(47) 3268-8000 (geral); Não disponível
Itapema,Horario,"seg.?sex., 12h?18h",12h às 18h,"Seg-Sex, 12h-18h (suposto)","Seg-Sex, 12h-18h (suposto)"
,,,,,
Luiz Alves,,,,,
Luiz Alves,Local,Secretaria de Obras e Planejamento,"Secretaria de Planejamento, Obras e Serviços Urbanos",Secretaria de Obras,"Secretaria de Planejamento, Obras e Serviços Urbanos"
Luiz Alves,Responsavel,(não localizado),Setor de Engenharia e Obras,Confirmar departamento via telefone,Confirmar departamento via telefone
Luiz Alves,Endereco,"R. Erich Gielow, nº 35 ? Centro ? Luiz Alvesluizalves.atende.net
Tel/Fax: (47) 3377-8600luizalves.atende.net
E-mail geral: administracao@luizalves.sc.gov.brluizalves.atende.net","Rua 18 de Julho, 236, Centro, Luiz Alves - SC",Não disponível,"R. Erich Gielow, nº 35 ? Centro ? Luiz Alvesluizalves.atende.net
Tel/Fax: (47) 3377-8600luizalves.atende.net
E-mail geral: administracao@luizalves.sc.gov.brluizalves.atende.net"
Luiz Alves,Contato,,Fone: (47) 3377-8600,(47) 3377-8200 (geral); Não disponível,(47) 3377-8200 (geral); Não disponível
Luiz Alves,Horario,"seg.?sex., 8h?12h / 13h?17h (prefeitura)",08h às 12h e 13h às 17h,"Seg-Sex, 8h-12h, 13h-17h (suposto)","seg.?sex., 8h?12h / 13h?17h (prefeitura)"
,,,,,
Navegantes,,,,,
Navegantes,Local,Secretaria de Infraestrutura (Seinfra),Secretaria de Obras,Secretaria de Obras ou Infraestrutura,Secretaria de Infraestrutura (Seinfra)
Navegantes,Responsavel,Roberto Melentino Ferreira ? Secretário de Infraestruturanavegantes.sc.gov.br,Diretoria de Obras,Confirmar departamento via telefone,Roberto Melentino Ferreira ? Secretário de Infraestruturanavegantes.sc.gov.br
Navegantes,Endereco,"Rua Arnaldo Passos, nº 298 ? Centro ? Navegantesnavegantes.sc.gov.br
Tel: (47) 3185-2003navegantes.sc.gov.br
E-mail: obras@navegantes.sc.gov.brnavegantes.sc.gov.br","Rua Itajaí, nº 230, Centro, Navegantes - SC",Não disponível,"Rua Arnaldo Passos, nº 298 ? Centro ? Navegantesnavegantes.sc.gov.br
Tel: (47) 3185-2003navegantes.sc.gov.br
E-mail: obras@navegantes.sc.gov.brnavegantes.sc.gov.br"
Navegantes,Contato,,Fone: (47) 3342-9529 / (47) 3342-9530,(47) 3185-2000 (geral); Não disponível,(47) 3185-2000 (geral); Não disponível
Navegantes,Horario,"seg.?sex., 8h?12h / 13h30?17h30navegantes.sc.gov.br",13h às 19h,"Seg-Sex, 13h-19h (suposto)","seg.?sex., 8h?12h / 13h30?17h30navegantes.sc.gov.br"
,,,,,
Penha,,,,,
Penha,Local,Secretaria Municipal de Obras,Secretaria de Planejamento Urbano,Secretaria de Obras ou Serviços Urbanos,Secretaria de Obras ou Serviços Urbanos
Penha,Responsavel,(não localizado),Departamento de Engenharia,Confirmar departamento via telefone,Confirmar departamento via telefone
Penha,Endereco,"Prefeitura Municipal de Penha ? Endereço não divulgado onlinepenha.atende.net
Tel/Fax geral: (47) 3345-0200penha.atende.net
E-mail geral: penha@penha.sc.gov.brpenha.atende.net","Av. Nereu Ramos, 12, Centro, Penha - SC",Não disponível,"Prefeitura Municipal de Penha ? Endereço não divulgado onlinepenha.atende.net
Tel/Fax geral: (47) 3345-0200penha.atende.net
E-mail geral: penha@penha.sc.gov.brpenha.atende.net"
Penha,Contato,,Fone: (47) 3345-4915,(47) 3345-2500 (geral); Não disponível,(47) 3345-2500 (geral); Não disponível
Penha,Horario,"seg.?sex., 8h?12h / 13h?17h",13h às 19h,"Seg-Sex, 8h-12h, 13h-17h (suposto)","Seg-Sex, 8h-12h, 13h-17h (suposto)"
,,,,,
Porto Belo,,,,,
Porto Belo,Local,Secretaria de Obras e Infraestrutura Urbana,Secretaria de Infraestrutura e Urbanismo,Secretaria de Obras ou Infraestrutura,Secretaria de Obras e Infraestrutura Urbana
Porto Belo,Responsavel,Fernando Amadeu Raulino ? Secretário de Obrasportobelo.sc.gov.br,Departamento de Obras,Confirmar departamento via telefone,Fernando Amadeu Raulino ? Secretário de Obrasportobelo.sc.gov.br
Porto Belo,Endereco,"Av. Gov. Celso Ramos, nº 2500 ? Centro ? Porto Beloportobelo.sc.gov.br
Tel geral: (47) 3369-4111portobelo.sc.gov.br (telef./fax)","Av. Gov. Celso Ramos, 2500, Centro, Porto Belo - SC",Não disponível,"Av. Gov. Celso Ramos, nº 2500 ? Centro ? Porto Beloportobelo.sc.gov.br
Tel geral: (47) 3369-4111portobelo.sc.gov.br (telef./fax)"
Porto Belo,Contato,,Fone: (47) 3369-8735,(47) 3369-6700 (geral); Não disponível,(47) 3369-6700 (geral); Não disponível
Porto Belo,Horario,"seg.?sex., 8h?12h / 13h?17hportobelo.sc.gov.br",13h às 19h,"Seg-Sex, 12h-18h (suposto)","seg.?sex., 8h?12h / 13h?17hportobelo.sc.gov.br"
